# {"env_id": "HopperBulletEnv-v0", "t_start": 1587161614.5459487} 
r,l,t
18.083676,7,43.035485
17.511845,9,43.04775
17.588424,6,43.056151
15.955675,6,43.064677
23.23166,11,43.079717
16.802328,5,43.086894
19.45408,8,43.09784
14.502046,9,43.110312
15.921683,5,43.117625
16.915884,5,43.125138
15.275321,6,43.134438
22.425066,10,43.148691
19.109455,7,43.158667
15.398824,12,43.17512
15.799038,5,43.182529
21.540629,8,43.194072
13.834816,5,43.201472
16.197053,5,43.208878
16.381562,5,43.216524
14.279575,8,43.228053
18.175412,18,43.252508
17.810217,8,43.263709
16.802135,6,43.272193
15.271818,6,43.280782
19.394785,6,43.289378
14.136814,5,43.296625
18.68034,7,43.306373
17.286376,7,43.50638
21.687539,12,43.524832
16.057799,5,43.532838
20.299933,10,43.547509
19.212049,6,43.556649
16.041175,5,43.564426
17.861483,6,43.573656
15.498371,11,43.589378
17.330696,8,43.60097
18.105777,6,43.610878
12.363435,9,43.625264
20.183554,11,43.641422
14.809627,6,43.650462
11.412232,10,43.665302
17.422975,9,43.678625
18.267361,6,43.687399
24.330715,19,43.713876
17.337688,5,43.721318
19.464683,10,43.735958
21.854824,9,43.748604
17.547619,11,43.764488
16.45414,7,43.774794
17.342923,6,43.7836
20.269906,7,43.793734
18.313843,7,43.80375
18.344028,9,43.816306
17.575178,6,43.824821
19.361879,8,43.835967
14.297729,6,43.844481
15.133269,6,43.852906
20.508501,7,43.862742
16.913256,8,43.87382
18.91804,6,43.882342
18.060979,5,43.889522
17.025546,5,43.896778
15.572291,11,43.911834
13.47999,5,43.919512
19.845636,6,43.92838
17.147963,7,43.938154
15.368602,5,43.945259
18.96948,11,43.960386
16.122306,7,43.970137
20.257781,6,43.978739
17.401543,10,43.992505
17.542851,5,43.999704
17.789726,7,44.009446
15.50579,5,44.016587
18.939017,7,44.026426
18.94505,6,44.035002
14.265513,5,44.042112
19.645038,8,44.053222
18.89972,6,44.06163
16.425564,5,44.068761
18.20658,5,44.075895
19.839942,17,44.098691
20.178795,8,44.109798
20.194535,7,44.119636
17.509318,7,44.129434
16.560963,9,44.141793
15.062599,5,44.148921
21.036084,10,44.162322
18.906004,8,44.173205
16.654867,6,44.181767
17.348757,5,44.188957
16.815118,5,44.19607
19.663981,7,44.205828
18.084211,7,44.21559
17.451425,6,44.223948
15.020611,6,44.23254
14.448667,7,44.242229
17.740825,6,44.251253
17.77872,6,44.260037
16.635214,10,44.273931
19.39806,7,44.283837
16.355447,8,44.295319
16.306262,6,44.30404
18.7353,6,44.312618
17.486034,7,44.322651
17.411615,8,44.334033
16.880468,5,44.341327
17.02997,5,44.348627
18.451604,8,44.359741
19.088191,9,44.372324
18.51876,6,44.380871
17.314272,7,44.390875
18.901099,9,44.403423
18.323562,6,44.411959
16.654612,5,44.419177
19.687251,8,44.430576
17.305871,8,44.441919
17.792624,10,44.456038
18.874636,7,44.466126
16.200918,9,44.47886
18.762163,9,44.491603
17.300235,7,44.501615
16.522085,5,44.508886
20.645517,11,44.524145
21.192877,9,44.536719
19.661884,6,44.545462
20.09617,9,44.558136
21.704016,16,44.580087
17.513137,6,44.588672
14.848455,5,44.595811
15.825328,7,44.605793
19.01498,10,44.622025
12.545399,5,44.630045
18.039477,7,44.640794
17.818672,7,44.651226
14.753063,5,44.659108
16.103974,5,44.666766
18.369409,7,44.677202
14.206015,5,44.685035
13.48008,5,44.692673
23.196459,28,44.731381
17.540235,7,44.742075
17.019783,6,44.751019
20.45078,7,44.761346
15.205611,5,44.768764
17.037403,7,44.779013
16.781488,7,44.789329
17.840946,7,44.799604
14.538757,9,44.812553
13.987957,6,44.821455
17.253478,7,44.831481
15.740443,6,44.84028
18.252222,7,44.850361
15.65482,5,44.85787
12.93031,4,44.863972
18.021953,9,44.876779
17.87716,12,44.893823
15.921755,6,44.902548
15.44886,6,44.911121
20.953654,8,44.924226
12.445069,8,44.936389
21.754429,10,44.950897
18.71407,6,44.959851
17.113386,11,44.975803
19.510766,9,44.98881
17.415639,5,44.996481
14.662738,5,45.003926
18.227585,5,45.011594
21.251338,11,45.027373
19.122514,7,45.037718
18.195492,5,45.045249
15.5656,7,45.055497
19.941884,10,45.06989
17.535027,10,45.084148
16.028155,5,45.091498
18.905985,8,45.102917
20.71742,9,45.11583
23.280433,12,45.132669
18.579087,8,45.143922
17.521886,18,45.168295
17.804318,6,45.177084
15.927742,7,45.187304
15.151547,10,45.201232
18.269352,7,45.211112
20.136036,10,45.225421
20.661508,9,45.238564
16.451228,6,45.247363
15.849379,5,45.254892
17.371178,6,45.263842
16.000412,6,45.272686
16.138786,7,45.282472
15.437794,6,45.292755
19.204145,13,45.315642
16.261412,12,45.331676
17.508164,6,45.33997
10.207182,6,45.348305
15.310207,6,45.35656
16.837317,6,45.365044
20.238261,7,45.374757
18.815894,6,45.383337
17.302136,6,45.391831
18.379714,7,45.401807
18.804112,7,45.411613
19.681857,9,45.4244
17.656689,7,45.434119
13.280351,5,45.441249
17.185533,6,45.449743
17.681904,9,45.462253
17.752758,7,45.472054
18.161711,6,45.480588
20.411127,12,45.496805
15.526952,7,45.507177
18.125746,7,45.517196
17.170646,6,45.526093
16.085239,5,45.533523
17.804078,5,45.540846
18.783852,6,45.549593
17.407685,7,45.559963
17.249497,6,45.568846
15.78661,5,45.576175
15.0527,5,45.583399
20.008699,7,45.593145
19.131397,7,45.602903
17.491933,5,45.611278
18.908998,7,45.622797
16.926598,6,45.631916
23.284423,10,45.647465
17.895809,9,45.661184
16.296172,6,45.670539
14.744083,5,45.678014
13.556723,5,45.685483
16.623919,6,45.694266
16.121262,9,45.70732
12.601252,6,45.716021
13.954696,9,45.728742
20.692561,9,45.742034
15.825561,6,45.75052
20.712379,8,45.761411
22.348555,17,45.784379
21.017135,8,45.795652
16.23493,18,45.819441
16.120393,5,45.826557
18.439516,6,45.834847
17.355813,6,45.843173
13.982751,9,45.855463
24.070324,10,45.869441
12.304581,4,45.875357
16.862833,6,45.883847
18.291121,7,45.893713
18.311236,8,45.905016
19.361575,7,45.914849
15.266971,5,45.92269
18.061363,16,45.944244
15.95413,5,45.951569
17.847006,8,45.962815
18.234108,6,45.971487
15.175194,7,45.981601
18.58485,5,45.988864
21.254313,11,46.004143
15.313107,5,46.01151
16.269358,6,46.019992
17.813929,7,46.030105
17.004647,5,46.037462
18.887698,8,46.048356
43.993252,49,46.113939
17.580187,5,46.121249
18.84642,6,46.129736
16.405983,7,46.139724
18.117081,8,46.150868
20.086485,8,46.162009
16.940389,5,46.169142
16.414703,7,46.179045
19.925608,10,46.19278
15.497154,6,46.201341
17.692976,11,46.216749
15.581187,5,46.22446
13.67057,4,46.2302
19.011585,6,46.238433
18.967021,6,46.246448
20.245001,11,46.261184
17.471883,5,46.268473
17.807469,10,46.282675
16.015132,5,46.290222
16.787102,6,46.299199
16.279961,7,46.309584
12.914184,7,46.320063
19.251923,6,46.329021
16.447733,6,46.338151
15.177969,5,46.345825
19.545993,10,46.3609
17.604937,5,46.368432
18.332,5,46.376314
17.069154,5,46.384279
15.089465,14,46.404727
15.230912,9,46.418098
19.711822,16,46.440701
15.010693,6,46.642494
18.525859,10,46.657998
16.346087,5,46.666174
18.816342,6,46.675524
14.749668,7,46.686209
19.460249,7,46.696875
19.959604,9,46.710106
17.718934,15,46.731202
16.718187,7,46.742082
18.413498,7,46.75272
18.651016,8,46.764436
17.280578,6,46.773465
19.489053,11,46.78907
17.106153,5,46.79664
18.478679,6,46.805449
19.898504,14,46.825328
18.494715,12,46.842515
23.429704,10,46.856794
17.317029,9,46.869673
18.418065,7,46.880061
18.386425,7,46.890649
20.17701,15,46.911962
14.63923,6,46.921209
19.821011,6,46.930441
18.649141,8,46.942297
18.325108,7,46.952811
16.427558,7,46.962934
16.542907,6,46.971955
20.068985,10,46.98631
17.38826,6,46.995409
20.175801,8,47.007038
16.692035,7,47.017176
17.11455,10,47.032728
18.445931,7,47.043254
17.627048,6,47.052439
15.688236,5,47.060199
18.859388,7,47.070708
19.725445,9,47.084041
24.287516,10,47.098953
21.636646,9,47.111805
19.181822,8,47.123375
14.568104,5,47.130885
22.102392,13,47.149321
21.839808,10,47.163297
14.424067,11,47.178851
24.862253,26,47.214129
15.580824,8,47.225695
21.856405,9,47.238891
21.990053,13,47.257572
18.628855,7,47.267663
16.832363,6,47.276493
13.432205,8,47.287919
17.880194,10,47.302211
16.562062,5,47.309444
18.180462,7,47.319366
16.086746,5,47.326612
17.703077,6,47.335162
16.180326,6,47.343798
16.399094,6,47.352385
15.927443,10,47.366149
19.350868,7,47.376101
19.451641,17,47.399248
17.072234,9,47.411749
18.247122,5,47.419086
18.570421,7,47.429028
19.13072,8,47.439901
17.123864,6,47.448111
32.035058,24,47.479276
12.087993,10,47.492455
19.317736,7,47.502089
18.026079,8,47.51291
16.484103,5,47.520099
17.720321,8,47.531052
13.115111,7,47.540491
14.586769,10,47.55373
17.159196,10,47.567152
18.048111,8,47.578604
17.774026,5,47.586109
19.194626,11,47.601314
18.235774,11,47.618603
20.596377,10,47.633402
15.802183,5,47.641115
17.997007,5,47.648883
18.167153,11,47.664557
17.973276,7,47.674788
13.061098,10,47.688959
16.94686,7,47.69891
19.54593,7,47.708778
18.16632,6,47.717165
21.982493,12,47.733893
17.354355,6,47.743118
16.006779,10,47.758138
19.851356,10,47.772931
19.239912,7,47.783428
21.490762,10,47.798125
18.464233,6,47.807203
16.88046,7,47.817359
15.759269,9,47.830185
14.326329,5,47.83786
16.713311,6,47.846691
16.792262,9,47.85958
20.582908,14,47.880013
21.868173,14,47.899895
16.701792,8,47.911245
19.392874,8,47.922691
15.937237,5,47.930614
17.119974,6,47.939564
17.842173,8,47.951592
18.795004,8,47.963528
19.891194,10,47.978255
16.347573,6,47.987497
15.59481,5,47.995135
19.886089,7,48.005434
18.042565,7,48.015376
21.080131,8,48.026824
20.721003,10,48.040787
20.14358,13,48.058999
18.683842,11,48.074639
17.295772,7,48.084842
27.071722,20,48.112226
18.876805,8,48.123585
17.592001,5,48.130912
19.609966,9,48.143782
22.108998,8,48.155377
18.27864,10,48.169602
19.729968,7,48.179553
18.669268,7,48.189441
14.889857,6,48.198028
18.693773,8,48.20913
15.887079,5,48.21626
22.148536,8,48.228073
16.572834,8,48.239569
16.759253,5,48.247263
16.643722,5,48.254923
18.800655,6,48.263905
17.543012,7,48.2745
15.729011,5,48.282368
19.284655,7,48.29302
15.498612,5,48.300717
11.73833,12,48.318262
19.526447,8,48.330436
15.744405,6,48.339581
19.533682,6,48.348213
20.450159,10,48.362642
16.261081,10,48.376685
18.455372,5,48.384059
18.614775,9,48.396924
16.746409,6,48.405722
20.286628,9,48.418582
21.571724,10,48.432744
16.326506,5,48.440177
18.796883,11,48.456004
16.566056,6,48.464613
16.403222,8,48.47601
17.195121,6,48.484223
10.292962,14,48.502382
16.971291,10,48.515766
18.819691,7,48.525185
16.737126,6,48.53375
19.916591,17,48.556165
16.32042,8,48.566954
17.873006,9,48.57921
20.273189,9,48.591703
20.294931,9,48.603994
17.019737,9,48.618186
14.967657,7,48.628766
19.095234,8,48.640747
18.654735,8,48.652784
18.51696,7,48.663146
17.064679,10,48.677465
16.790386,7,48.687556
20.349911,13,48.705737
17.194744,7,48.715504
16.505685,6,48.724152
17.699143,7,48.734135
22.348398,10,48.748674
22.403775,13,48.767604
18.475309,5,48.775135
18.481585,6,48.78404
16.471281,6,48.792831
16.986336,5,48.800411
19.25259,7,48.810616
16.354194,11,48.826315
18.715119,7,48.836629
16.837633,10,48.850564
20.92634,10,48.86449
15.285522,5,48.871716
14.563633,7,48.881778
22.445332,10,48.895636
16.525896,7,48.905514
20.316901,12,48.922038
14.216079,6,48.931097
18.82468,9,48.944158
21.72287,12,48.961225
16.433913,5,48.968712
15.507681,5,48.976271
16.757674,5,48.983879
16.959409,7,48.993902
17.683698,8,49.005254
16.833257,6,49.013803
17.450161,5,49.021014
21.286038,9,49.033579
16.511006,5,49.040787
16.517385,9,49.053356
16.440686,6,49.061866
20.167003,9,49.074354
17.529567,6,49.08311
14.69656,6,49.091756
17.626174,9,49.1042
15.657801,5,49.111436
16.151573,7,49.121293
14.686422,5,49.128558
19.674234,7,49.138515
17.010641,5,49.145824
19.755397,10,49.159724
14.893273,5,49.16722
15.141315,5,49.174435
19.494062,6,49.183124
21.151527,10,49.197006
16.950718,5,49.20416
15.50168,5,49.211256
19.144371,9,49.223703
18.219322,7,49.233749
17.940092,6,49.242208
15.375849,5,49.249216
17.918536,8,49.260574
18.364156,6,49.269389
17.709039,6,49.27787
19.4974,8,49.288997
16.449218,5,49.296165
15.911292,5,49.303299
17.925589,5,49.310438
16.078681,9,49.323024
16.766437,5,49.330549
16.575069,8,49.341663
16.126448,5,49.349065
17.39409,7,49.359013
18.271346,14,49.37791
17.762017,6,49.386433
14.752637,10,49.400184
16.938262,5,49.407447
15.969285,6,49.415912
16.609131,5,49.423166
16.436468,5,49.430448
17.641721,6,49.438847
19.004174,9,49.451154
20.301409,8,49.462393
19.778615,12,49.479112
22.692457,12,49.495699
18.289019,7,49.505586
16.164282,5,49.512905
18.722446,9,49.52553
17.67554,9,49.537994
21.134428,9,49.550494
21.038025,10,49.564326
15.850672,14,49.779059
14.325686,6,49.788026
18.393138,8,49.799883
14.459222,6,49.808786
20.838303,9,49.822107
11.949598,8,49.833964
19.054278,8,49.845422
17.936364,6,49.854155
20.499853,9,49.86701
21.101709,11,49.882338
15.346645,11,49.897868
20.290404,11,49.913162
17.343442,7,49.923217
19.350755,8,49.935305
15.775426,5,49.942859
17.652112,8,49.954512
20.958487,8,49.965729
27.132365,15,49.986722
27.81414,19,50.012897
15.872677,5,50.020438
19.260767,7,50.031009
21.565789,18,50.056619
12.81646,9,50.070151
19.410965,12,50.086121
19.725864,13,50.104245
15.467299,8,50.116498
13.718366,5,50.124443
25.486053,17,50.150032
16.540199,7,50.160887
16.766151,9,50.174716
20.868223,14,50.19598
22.391051,11,50.212891
17.196392,9,50.227053
13.532645,8,50.239861
17.88461,6,50.249481
24.365168,12,50.267349
22.38534,13,50.28652
25.557281,14,50.305871
19.860403,8,50.317137
16.560473,7,50.327215
14.872889,5,50.334522
16.342417,5,50.341736
20.310679,8,50.353131
17.030464,7,50.363
20.161238,12,50.380041
20.716362,8,50.391052
15.989501,6,50.39957
16.387754,5,50.407049
17.039769,7,50.41708
14.105328,9,50.429638
21.826489,17,50.452678
15.54673,5,50.459733
22.02019,12,50.475771
17.147243,6,50.484204
17.628052,8,50.495172
19.492878,7,50.50483
18.700534,8,50.515814
17.541647,7,50.525419
17.157988,6,50.533704
18.32815,6,50.542036
19.511876,7,50.551594
26.55815,23,50.581779
20.266453,10,50.595327
15.742395,6,50.604548
19.643446,12,50.622826
19.138181,8,50.634259
20.585616,8,50.645802
16.259272,5,50.653461
17.722766,7,50.663656
19.080596,10,50.677768
17.297866,7,50.687714
18.918011,7,50.697397
19.377472,12,50.713484
19.35426,8,50.724444
22.493397,10,50.738249
15.257331,6,50.746742
15.136472,5,50.754167
21.312224,9,50.766801
19.948526,8,50.777857
12.333938,8,50.788701
17.162813,7,50.798411
18.816189,9,50.810667
14.417173,6,50.819035
15.067689,6,50.827448
22.360842,15,50.847106
17.262681,10,50.860632
19.626316,14,50.879199
18.986146,8,50.889892
19.603786,8,50.900588
18.988425,12,50.91667
15.891006,5,50.923635
13.757063,8,50.934894
19.385885,6,50.943814
19.031179,7,50.954064
17.558684,6,50.962958
20.816622,9,50.975916
18.712029,9,50.988885
16.868641,5,50.996399
16.953842,6,51.005202
23.980144,12,51.022395
15.855151,8,51.03408
23.686563,14,51.05342
18.569895,6,51.0619
19.776312,6,51.070524
17.67386,9,51.083058
16.716275,7,51.093173
17.407451,7,51.103363
17.659948,8,51.11489
23.133143,18,51.14027
19.9799,10,51.15418
13.963132,8,51.165207
19.210614,8,51.176603
14.247108,8,51.188171
17.697907,6,51.196766
16.049542,5,51.20403
20.938877,9,51.216646
15.067459,5,51.22401
17.213184,5,51.231407
15.245448,5,51.238991
16.460701,6,51.247889
14.004785,4,51.254226
15.848234,9,51.267027
20.340447,11,51.282676
17.558723,5,51.290058
20.272832,12,51.30665
19.331952,7,51.316585
17.873989,7,51.326459
16.469227,5,51.333679
21.348887,28,51.371515
21.579794,16,51.39377
19.575316,10,51.407778
17.517982,8,51.418912
14.451326,5,51.426091
19.368343,10,51.440017
15.910644,5,51.447344
18.35995,7,51.457411
14.933335,5,51.46471
18.778592,8,51.475955
24.107503,15,51.496457
16.96579,9,51.509111
18.520585,9,51.521772
17.574339,8,51.532993
14.345268,5,51.540415
17.875293,6,51.549003
16.710689,6,51.557664
19.849323,7,51.567585
12.182383,21,51.595989
16.564333,7,51.605995
16.253574,6,51.61645
17.297988,8,51.628881
16.775795,5,51.636661
13.979892,5,51.644407
17.254958,8,51.656317
20.619474,8,51.668304
14.198107,5,51.675852
17.754905,6,51.684732
18.522018,9,51.697567
29.17505,21,51.726392
19.769164,9,51.739052
18.20654,7,51.749234
20.670442,13,51.768406
11.505875,7,51.778511
19.371017,8,51.790043
15.971816,10,51.804219
25.480905,12,51.821482
15.499704,5,51.828838
14.000421,11,51.84406
27.095076,22,51.874208
17.385494,6,51.883039
17.898019,9,51.896013
19.458591,8,51.907564
16.730452,5,51.915081
13.270445,8,51.926633
19.225547,6,51.935931
16.882418,7,51.946327
14.898645,5,51.953729
19.341461,8,51.965038
16.821211,7,51.974907
15.714424,8,51.986111
21.164618,10,51.999902
12.454134,16,52.021335
15.314925,5,52.028775
16.999117,5,52.035957
22.37264,13,52.054306
19.526919,8,52.065835
18.198063,9,52.078231
18.420107,8,52.089195
16.372326,5,52.096284
17.749064,8,52.107339
14.773744,6,52.115612
28.443537,17,52.138327
18.857395,9,52.15061
19.956564,11,52.165379
21.846264,15,52.185639
13.920915,6,52.194378
19.967903,7,52.204224
20.321039,7,52.214401
24.048201,14,52.234229
17.156671,12,52.251607
19.107043,8,52.263195
15.381242,6,52.272058
14.860119,5,52.279553
19.951273,9,52.292517
24.834715,13,52.31065
19.48794,9,52.323482
24.123445,13,52.341568
19.910295,9,52.354246
21.664701,12,52.370935
20.019352,7,52.382501
18.687907,7,52.396197
21.424608,13,52.419086
21.698757,19,52.444162
17.303585,6,52.452456
17.472851,7,52.46191
18.290497,6,52.470232
21.370387,15,52.490402
18.839223,7,52.500206
18.227396,6,52.508704
20.231527,13,52.526392
19.65917,9,52.538922
16.953586,6,52.54753
21.195939,10,52.561306
20.887992,13,52.578873
15.472672,6,52.587112
21.45808,31,52.631099
19.585321,10,52.645724
17.605512,6,52.654599
19.714766,11,52.670185
18.917365,16,52.882614
19.747059,10,52.897613
17.697145,5,52.90527
21.697361,14,52.926089
19.695907,8,52.938574
16.414882,5,52.946367
16.45496,6,52.955588
16.569482,10,52.970519
19.279669,12,52.987945
18.294946,6,52.997049
17.120134,7,53.007271
18.34542,12,53.024313
25.868974,27,53.06218
19.120829,7,53.07253
16.996031,10,53.08691
14.841427,5,53.094611
20.658048,10,53.109294
18.781212,11,53.125232
17.45435,7,53.135737
20.574015,11,53.151608
19.73082,9,53.164548
19.900684,8,53.176232
16.704026,6,53.185247
19.141612,8,53.196911
18.139818,7,53.207359
16.273232,5,53.214762
18.499276,13,53.233185
19.615106,8,53.244949
30.41016,24,53.278901
19.381969,11,53.294924
19.439125,13,53.313327
18.662181,8,53.324861
15.226654,6,53.333563
20.852711,13,53.351588
19.10897,9,53.364515
22.596979,12,53.381535
13.204776,7,53.391856
16.366656,6,53.400693
17.127267,7,53.410779
18.300426,7,53.42081
17.738779,10,53.434891
17.196707,9,53.447416
17.367052,9,53.46028
14.685565,6,53.46921
16.107802,6,53.47798
24.789871,16,53.499868
16.724368,6,53.508335
13.981859,8,53.519713
19.430419,11,53.534681
18.646042,6,53.54313
17.623344,9,53.555983
19.025201,8,53.567302
25.258882,22,53.596908
14.980777,6,53.60539
14.734883,7,53.6175
27.776698,16,53.641719
17.27669,7,53.652576
18.227443,12,53.67034
27.499012,28,53.709356
14.298993,5,53.716691
18.841896,7,53.726889
22.269607,13,53.745147
21.097329,8,53.756861
16.865988,5,53.764095
18.385655,5,53.774172
18.776594,8,53.789359
22.205557,9,53.806278
20.873095,16,53.829708
21.561001,8,53.840481
17.370257,7,53.850364
15.539511,9,53.86289
17.512334,7,53.872785
21.327402,11,53.887813
17.347345,10,53.902322
15.221954,5,53.910016
18.261399,7,53.919719
21.242988,15,53.93978
18.61045,10,53.954981
22.878332,19,53.983983
22.218229,16,54.008494
16.481155,5,54.016594
18.048854,6,54.026065
15.238789,5,54.033985
19.675747,8,54.046427
17.61322,7,54.057547
16.62131,9,54.071499
16.104004,6,54.080942
16.869044,6,54.090389
15.069585,5,54.098061
30.003538,23,54.130001
15.142505,9,54.142838
20.228442,10,54.157265
19.19639,10,54.171141
19.087679,12,54.187954
22.037943,15,54.208823
20.453907,9,54.22136
25.708632,21,54.250676
17.882727,5,54.257925
15.932574,8,54.269154
14.966546,13,54.286978
17.882446,6,54.295635
18.18537,6,54.30408
25.159455,13,54.321746
17.936687,8,54.33291
16.425028,6,54.341719
24.504686,17,54.365333
15.232914,5,54.372551
24.047435,15,54.392744
22.298026,11,54.407756
21.320475,13,54.425124
16.753403,8,54.435867
19.215687,6,54.444097
18.875231,7,54.453683
18.909315,8,54.464525
16.086334,6,54.472826
20.893699,10,54.486099
20.219396,11,54.500657
18.747668,8,54.511397
17.446289,10,54.524711
17.834484,5,54.531784
26.28647,28,54.568163
17.438644,5,54.575329
18.938053,8,54.586238
19.790547,11,54.601379
21.9212,16,54.625496
16.516618,9,54.638839
18.500176,5,54.64676
19.687957,9,54.660325
20.777436,12,54.677264
17.481216,5,54.684769
16.998283,6,54.693434
20.740945,9,54.70608
21.031769,8,54.718077
21.855723,18,54.742739
17.685261,7,54.752305
21.571219,19,54.780152
21.225755,14,54.800277
21.767191,9,54.813459
19.662541,13,54.831892
18.465669,9,54.844619
18.333016,10,54.858233
19.316895,11,54.873773
18.803983,9,54.886296
24.759873,17,54.908957
19.347464,8,54.920308
16.64577,11,54.935739
13.252955,8,54.94762
20.144563,7,54.95818
10.214799,12,54.975091
14.917749,7,54.985299
24.318325,29,55.02473
21.448409,18,55.049822
17.261509,7,55.059613
43.406318,44,55.11836
18.34755,8,55.12958
18.302514,10,55.143391
18.084679,6,55.15197
21.147252,14,55.171591
16.267685,7,55.181849
20.540819,11,55.197444
21.63467,10,55.211995
16.798834,6,55.220859
16.907681,7,55.231282
23.649746,14,55.251374
21.364217,16,55.274359
18.349139,10,55.288941
20.079931,9,55.302124
16.844218,23,55.334188
17.628983,6,55.343122
23.307574,19,55.369049
27.521839,18,55.39343
17.2602,8,55.404533
19.950975,12,55.421173
17.531624,5,55.428398
30.642306,26,55.462698
16.472498,5,55.469969
15.129092,9,55.482526
17.710177,6,55.491153
16.847768,6,55.500818
21.869394,16,55.52442
14.908213,7,55.534922
20.347308,16,55.557191
20.690118,16,55.578728
21.730939,12,55.595083
26.991518,18,55.621117
20.008134,11,55.637417
14.326743,6,55.646696
16.738591,9,55.66004
15.023346,15,55.681614
17.246065,7,55.691977
16.236785,5,55.69947
24.634335,17,55.722644
21.019523,7,55.732488
18.0119,8,55.743686
19.089306,6,55.752504
18.783246,7,55.763337
18.82948,9,55.810916
16.410722,9,55.823225
39.111864,40,56.06877
20.080678,9,56.081768
18.212083,9,56.094802
16.444835,7,56.105211
18.20848,8,56.116933
18.15056,6,56.125896
31.6856,28,56.16445
21.845586,8,56.175925
15.801105,8,56.187628
21.954879,16,56.210593
36.383896,42,56.268921
23.047389,10,56.283332
9.43288,35,56.33144
19.032454,10,56.345728
21.56552,9,56.358917
28.193339,32,56.403064
16.262477,6,56.411871
26.72083,22,56.442703
18.477753,10,56.456904
19.791267,8,56.468479
20.853329,14,56.48858
23.019835,35,56.536676
15.683693,9,56.549671
32.44454,31,56.592714
16.969378,8,56.604184
23.833307,21,56.636414
19.557806,9,56.649767
14.56033,5,56.657379
18.493401,11,56.673057
17.952426,6,56.681914
19.228659,11,56.697502
18.087426,7,56.707618
17.893162,8,56.71921
21.595921,13,56.737149
22.198998,10,56.751099
23.94739,13,56.769673
17.459925,5,56.777008
17.259971,12,56.793575
18.145207,7,56.803372
21.311844,9,56.816034
14.871232,6,56.824595
19.221886,7,56.834497
17.528655,5,56.841722
20.634662,9,56.854393
14.570127,7,56.864456
18.590682,8,56.875759
27.817287,24,56.907454
16.232378,7,56.917298
20.171723,8,56.928502
16.435095,7,56.938447
20.247045,8,56.950113
18.291559,10,56.963716
32.661248,25,56.997808
24.882735,17,57.020781
18.132903,7,57.030456
17.590294,10,57.044641
31.902926,21,57.07314
24.979664,20,57.100135
21.971655,15,57.12061
24.675637,15,57.141433
17.461587,8,57.152684
18.802719,7,57.162792
17.876217,6,57.171497
11.993316,11,57.187081
21.625939,17,57.21047
14.818275,6,57.219331
19.715929,5,57.226871
21.282332,8,57.23848
17.918901,7,57.24869
18.860094,11,57.263797
19.551309,9,57.276377
16.739567,9,57.288862
12.611724,6,57.297473
18.237717,6,57.305948
15.976823,5,57.3132
17.087352,7,57.323028
21.558123,13,57.341013
18.815522,15,57.361403
18.314064,8,57.372725
19.858173,7,57.382531
24.53526,12,57.398889
16.292734,10,57.412636
28.618475,29,57.451236
17.527181,6,57.459831
14.605008,6,57.468326
22.223001,11,57.483488
40.392128,37,57.532311
19.575556,7,57.542439
23.556545,16,57.56433
16.480762,8,57.575915
17.548608,7,57.585967
18.695982,14,57.605057
17.003699,9,57.619959
25.330582,20,57.649157
24.514268,20,57.677253
18.966083,7,57.687495
18.085405,7,57.697526
18.802003,6,57.706125
32.979777,29,57.745344
16.263033,5,57.752022
21.55531,13,57.772454
18.439288,8,57.791798
19.463143,7,57.808949
15.890668,9,57.832869
15.523662,10,57.852851
19.21951,8,57.867766
28.999285,22,57.903799
17.875867,6,57.913705
14.123278,7,57.924904
16.870328,10,57.940108
19.290985,9,57.954094
15.759983,5,57.961895
14.670909,6,57.97202
19.142789,11,57.988546
19.186846,10,58.003764
18.129655,8,58.015853
40.331379,36,58.068978
16.783587,19,58.09833
16.280146,6,58.10754
22.611466,13,58.126557
22.61703,14,58.147466
16.858797,8,58.159103
19.844442,11,58.175115
19.707713,8,58.186728
15.831515,9,58.199841
19.473272,10,58.214146
22.562898,15,58.235095
20.474719,8,58.246714
20.897376,9,58.259468
12.843541,28,58.302113
17.833458,6,58.311103
31.597437,24,58.344412
18.095535,7,58.354743
19.406713,9,58.367459
33.902653,26,58.404675
21.314855,13,58.423002
18.028039,16,58.444818
14.661966,5,58.452021
16.771173,6,58.460577
19.550758,16,58.482344
20.979924,14,58.501303
17.650321,7,58.510994
21.989733,8,58.522372
17.919083,10,58.536179
17.260882,7,58.546147
16.840264,8,58.557419
12.740765,6,58.56608
16.82774,5,58.573392
31.092236,24,58.605451
26.825758,16,58.636375
21.316202,12,58.65403
18.33092,9,58.666496
19.768199,9,58.67954
18.630118,9,58.692307
20.126916,8,58.703928
24.933693,17,58.72668
20.97614,12,58.743185
16.868898,7,58.752734
22.004403,18,58.777597
21.118202,9,58.790609
18.296642,8,58.80206
30.376083,20,58.829796
21.673028,12,58.846403
16.37497,6,58.855118
19.195989,8,58.866492
17.613104,6,58.874985
20.15504,16,58.896666
14.939604,6,58.905287
20.145054,19,58.930859
21.329619,15,58.951418
23.368391,19,59.169273
19.050906,8,59.18166
44.641923,52,59.268958
23.348835,12,59.287425
18.734911,8,59.299528
16.303561,5,59.307268
20.262782,14,59.327929
18.371409,7,59.338823
24.984538,31,59.382933
27.778061,19,59.409927
17.56831,11,59.425937
17.660466,5,59.433682
23.229998,18,59.459036
17.540558,9,59.472128
19.739397,10,59.486733
16.079654,5,59.494225
