# {"env_id": "HopperBulletEnv-v0", "t_start": 1587161614.5459487} 
r,l,t
16.25155,23,5.119208
16.08713,5,5.125842
13.462542,11,5.139692
15.359622,11,5.153562
14.024695,8,5.163731
20.64089,8,5.173985
14.424922,13,5.190423
14.151282,8,5.201105
14.3069,7,5.210122
18.036494,10,5.222637
12.37283,10,5.235211
15.767498,8,5.245862
20.115838,17,5.267302
14.758872,7,5.276578
9.59625,10,5.289183
16.821636,6,5.297117
18.399386,10,5.309663
16.266544,10,5.322376
12.311682,10,5.335398
14.860242,9,5.346807
15.816885,5,5.353555
13.334033,7,5.362559
17.200191,8,5.37289
14.317983,10,5.385535
17.488539,14,5.403053
12.190428,17,5.424092
14.186612,6,5.431893
19.348636,12,5.447323
16.010553,11,5.461255
13.48233,10,5.474779
18.534731,7,5.484078
12.996417,10,5.496779
15.867751,5,5.503411
15.905068,7,5.512496
14.424649,7,5.52162
13.797229,12,5.53983
14.346546,7,5.552889
15.485238,9,5.56673
13.0823,9,5.579609
20.999687,9,5.59231
17.791898,6,5.600862
12.812425,5,5.607714
13.631586,9,5.621211
11.726184,9,5.63632
15.78427,5,5.643813
11.474858,6,5.652901
16.068672,8,5.664003
16.169754,20,5.690048
14.788551,7,5.699421
16.204906,8,5.710956
22.868496,14,5.728903
17.842859,8,5.739271
15.705862,6,5.74724
13.447263,6,5.755244
11.732922,11,5.769525
16.273134,14,5.787063
16.594658,8,5.797434
14.474758,5,5.804126
15.754252,6,5.811895
16.182555,5,5.818562
15.149753,6,5.82682
16.900499,6,5.834655
22.381042,23,5.863338
18.234071,7,5.872472
18.044102,7,5.881558
19.483104,20,5.906198
14.954199,12,5.921632
14.507577,6,5.929416
13.861333,12,5.944335
18.443953,7,5.95338
10.985765,7,5.962466
23.537312,15,5.981394
16.531613,8,5.991653
16.483405,8,6.001905
12.673182,7,6.011013
19.100978,9,6.022545
17.138032,11,6.036399
14.048378,9,6.047968
19.360998,10,6.060805
15.222948,6,6.068594
15.626945,8,6.078842
18.428508,9,6.090334
17.339401,8,6.100829
21.573701,15,6.119927
16.429159,8,6.130064
16.681071,22,6.157554
18.393993,7,6.166496
14.44628,14,6.18408
17.925974,6,6.191902
14.912793,11,6.205589
20.47455,10,6.218367
17.739517,7,6.227947
15.331792,10,6.241391
17.08098,6,6.249227
17.095986,6,6.257047
15.879459,5,6.263664
16.512013,7,6.272743
19.929309,14,6.290237
19.076865,8,6.300687
15.112156,8,6.310834
18.339675,18,6.33323
16.75733,9,6.344572
19.249007,12,6.359627
16.477944,5,6.36627
18.4578,7,6.375527
19.982206,10,6.388296
23.148197,12,6.403481
18.390841,6,6.411285
13.041991,10,6.424041
16.267256,8,6.434163
18.196606,19,6.457453
18.170385,7,6.466411
18.12298,12,6.481392
17.07591,19,6.505126
13.912133,8,6.51521
18.77954,11,6.529459
12.332444,10,6.542016
17.487509,6,6.549769
13.281765,8,6.559801
16.89577,6,6.567728
14.384631,9,6.579256
11.42763,14,6.597083
17.153966,11,6.611872
22.079992,9,6.623818
15.233668,11,6.637937
17.005488,8,6.648527
20.08938,8,6.65923
15.338911,17,6.680413
16.495582,16,6.700806
16.810076,7,6.709908
19.501644,10,6.7228
14.978446,7,6.731901
16.243551,5,6.73859
19.424329,8,6.748765
14.34212,9,6.760219
15.409811,9,6.771756
15.33514,11,6.786101
16.293051,11,6.97015
17.407215,5,6.97698
