eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
393.97,461.1220886799999,666,0.0020609298,0.010131836,3.0683134,-0.0021825782,39.58135,0.8618887215852737,390,798720,1198.5953081799998,798720
412.93,495.85987518,670,0.0059490604,0.07543945,3.0451307,-0.0034432267,54.16117,0.5106850862503052,400,819200,1228.8901406290006,819200
396.18,480.74105000000003,661,0.007872904,0.111083984,3.0238461,-0.00041805068,21.240131,0.916639655828476,410,839680,1259.4467391030012,839680
307.71,389.50131949999997,673,0.004278754,0.05090332,2.9987206,-0.002368108,37.054092,0.912087008357048,420,860160,1290.0188804400004,860160
313.83,405.75663962000016,663,0.0087744,0.12072754,2.961617,0.0018240918,50.741432,0.7071196436882019,430,880640,1320.2712201400009,880640
288.42,370.1731797099999,668,0.0054740435,0.06225586,2.9379783,-0.00016091892,22.70896,0.9195573255419731,440,901120,1350.5710235660008,901120
295.75,374.11784371,675,0.0062169647,0.084106445,2.9151192,-0.0038270722,70.48721,0.8153118044137955,450,921600,1380.9068215490006,921600
245.4,328.42707392999995,674,0.0048404364,0.051879883,2.8890686,-0.0016805375,21.155983,0.9043435007333755,460,942080,1411.5144726540002,942080
348.73,461.57500102000006,672,0.0025476457,0.02368164,2.849372,-0.002243692,57.989452,0.6208659410476685,470,962560,1441.7686097320002,962560
418.12,559.38376748,665,0.0049296813,0.05493164,2.8171487,-0.0022291017,45.19217,0.8194545656442642,480,983040,1472.1795516319999,983040
448.92,598.75626441,667,0.017067315,0.22961426,2.7787442,-0.0011017104,54.218628,-0.07688367366790771,490,1003520,1502.6344216729995,1003520
549.21,723.3527120299998,676,0.004851317,0.056640625,2.742917,-0.0023933135,54.338554,0.5709106922149658,500,1024000,1533.1428325910001,1024000
542.94,733.9662612700001,670,0.00876528,0.11047363,2.7217836,-0.00046480232,48.115444,0.8422310203313828,510,1044480,1563.5003905049998,1044480
437.88,616.05681929,662,0.007651316,0.10827637,2.688913,-0.002570673,34.494556,0.6585823893547058,520,1064960,1593.8172481780002,1064960
